,EV_0hr_ser_rep1,EV_0hr_ser_rep2,EV_2hr_ser_rep1,EV_2hr_ser_rep2,EV_6hr_ser_rep1,EV_6hr_ser_rep2,EV_12hr_ser_rep1,EV_12hr_ser_rep2
ENSMUSG00000106986.1,0,0,0,0,1.9633932112,0,0.9976558268,0
ENSMUSG00000107148.1,0,0,0,0,4.9084830281,0,0,0
ENSMUSG00000105852.4,10.8276794388,13.8183628742,3.9317612173,1.9788192959,1.9633932112,5.8798513187,1.9953116535,5.9899067276
ENSMUSG00000106073.1,1.9686689889,0,0,0,0,0,0.9976558268,0
ENSMUSG00000106694.1,2.9530034833,0,0,0,0,0,0,0
ENSMUSG00000106676.1,0,0,2.948820913,0,0,0,0,0
ENSMUSG00000107207.1,3.9373379777,3.9481036783,0,1.9788192959,0,0,0,0
ENSMUSG00000104828.1,1.9686689889,0,0,0,0,6.8598265384,0,0
ENSMUSG00000104687.1,1.9686689889,0,12.7782239563,0,1.9633932112,0,2.9929674803,0
ENSMUSG00000106671.1,5.9060069666,0,4.9147015216,5.9364578878,0,1.9599504396,0.9976558268,6.9882245155
ENSMUSG00000104850.1,3.9373379777,6.9091814371,5.897641826,12.8623254235,8.8352694506,9.7997521978,2.9929674803,0
ENSMUSG00000106396.1,8.8590104499,11.844311035,0.9829403043,0,0,0.9799752198,0,0
ENSMUSG00000107288.1,4.9216724722,0,0.9829403043,0,0,0,0,0
ENSMUSG00000106254.1,4.9216724722,6.9091814371,4.9147015216,14.8411447195,4.9084830281,13.7196530769,3.990623307,0
ENSMUSG00000104940.1,0,0,2.948820913,5.9364578878,0,0,0,1.9966355759
ENSMUSG00000104632.1,0,0,0,0,2.9450898169,0,0,0
